#   SiteID         X(m)           Y(m)           Z(m)        Freq(Hz)       Re(Tzx)        Im(Tzx)        Re(Tzy)        Im(Tzy)
Line01-005    8.750000E+01    1.250000E+01    1.011500E+02    1.000000E+02    3.442413E-03   -3.704093E-02    4.409345E-02    6.397934E-04
Line01-005    8.750000E+01    1.250000E+01    1.011500E+02    5.009995E+01    1.818278E-02   -2.862267E-02    4.140053E-02    4.064742E-03
Line01-005    8.750000E+01    1.250000E+01    1.011500E+02    2.510002E+01    3.086626E-02   -1.908452E-02    3.944230E-02    3.788195E-03
Line01-006    1.125000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -6.480038E-02   -5.604570E-02    2.737846E-02   -1.150692E-02
Line01-006    1.125000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -3.695511E-02   -5.070530E-02    3.403202E-02   -1.020482E-02
Line01-006    1.125000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -1.452769E-02   -4.411019E-02    3.908954E-02   -6.388374E-03
Line01-006    1.125000E+02    1.250000E+01    1.011500E+02    1.000000E+02    4.005712E-03   -3.625444E-02    4.088834E-02   -1.215876E-03
Line01-006    1.125000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.873871E-02   -2.810171E-02    3.881017E-02    2.531284E-03
Line01-006    1.125000E+02    1.250000E+01    1.011500E+02    2.510002E+01    3.130546E-02   -1.864605E-02    3.751304E-02    2.520867E-03
Line01-007    1.375000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -6.888752E-02   -5.608618E-02    1.920597E-02   -1.652204E-02
Line01-007    1.375000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -3.995041E-02   -5.190330E-02    2.821599E-02   -1.422716E-02
Line01-007    1.375000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -1.642754E-02   -4.550646E-02    3.475956E-02   -9.322516E-03
Line01-007    1.375000E+02    1.250000E+01    1.011500E+02    1.000000E+02    2.900738E-03   -3.739075E-02    3.744149E-02   -3.359538E-03
Line01-007    1.375000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.809295E-02   -2.885349E-02    3.603417E-02    8.128525E-04
Line01-007    1.375000E+02    1.250000E+01    1.011500E+02    2.510002E+01    3.086584E-02   -1.905292E-02    3.543915E-02    1.133161E-03
Line01-008    1.625000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -7.971939E-02   -6.513640E-02    1.204211E-02   -2.146373E-02
Line01-008    1.625000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -4.717512E-02   -5.878707E-02    2.317989E-02   -1.796449E-02
Line01-008    1.625000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -2.120999E-02   -5.055800E-02    3.097450E-02   -1.191768E-02
Line01-008    1.625000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -2.249625E-04   -4.091338E-02    3.434725E-02   -5.204878E-03
Line01-008    1.625000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.599605E-02   -3.117693E-02    3.348530E-02   -6.774634E-04
Line01-008    1.625000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.936837E-02   -2.049856E-02    3.350852E-02   -9.159408E-05
Line01-009    1.875000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.080142E-01   -9.752730E-02    1.538288E-02   -1.867904E-02
Line01-009    1.875000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -6.568065E-02   -8.044779E-02    2.550174E-02   -1.558614E-02
Line01-009    1.875000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.378258E-02   -6.521700E-02    3.230608E-02   -9.883932E-03
Line01-009    1.875000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -8.816642E-03   -5.078005E-02    3.479584E-02   -3.657960E-03
Line01-009    1.875000E+02    1.250000E+01    1.011500E+02    5.009995E+01    9.995854E-03   -3.771432E-02    3.339402E-02    2.602659E-04
Line01-009    1.875000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.504917E-02   -2.473227E-02    3.327627E-02    3.632600E-04
Line01-010    2.125000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.208261E-01   -1.100718E-01    2.342104E-02   -1.373384E-02
Line01-010    2.125000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -7.371515E-02   -8.939160E-02    3.107864E-02   -1.109286E-02
Line01-010    2.125000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.896265E-02   -7.141274E-02    3.586417E-02   -6.093765E-03
Line01-010    2.125000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -1.218855E-02   -5.493778E-02    3.676518E-02   -7.803662E-04
Line01-010    2.125000E+02    1.250000E+01    1.011500E+02    5.009995E+01    7.727668E-03   -4.041716E-02    3.436719E-02    2.149688E-03
Line01-010    2.125000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.345125E-02   -2.641534E-02    3.380868E-02    1.481002E-03
Line01-011    2.375000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.246210E-01   -1.118330E-01    3.284651E-02   -8.365752E-03
Line01-011    2.375000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -7.574532E-02   -9.129591E-02    3.763295E-02   -6.046738E-03
Line01-011    2.375000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.996110E-02   -7.287085E-02    4.006579E-02   -1.799182E-03
Line01-011    2.375000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -1.264259E-02   -5.588527E-02    3.915023E-02    2.478120E-03
Line01-011    2.375000E+02    1.250000E+01    1.011500E+02    5.009995E+01    7.526501E-03   -4.096538E-02    3.562798E-02    4.299852E-03
Line01-011    2.375000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.335136E-02   -2.667143E-02    3.455221E-02    2.778375E-03
Line01-012    2.625000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.141197E-01   -9.571924E-02    4.035496E-02   -4.297597E-03
Line01-012    2.625000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -6.831651E-02   -8.163778E-02    4.292830E-02   -2.021659E-03
Line01-012    2.625000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.439638E-02   -6.663731E-02    4.338454E-02    1.741972E-03
Line01-012    2.625000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -8.516470E-03   -5.167277E-02    4.090170E-02    5.168579E-03
Line01-012    2.625000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.057547E-02   -3.806895E-02    3.645238E-02    6.019471E-03
Line01-012    2.625000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.560581E-02   -2.465067E-02    3.500751E-02    3.772689E-03
Line01-013    2.875000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.154813E-01   -9.586927E-02    4.143664E-02   -5.635899E-03
Line01-013    2.875000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -6.851272E-02   -8.215061E-02    4.382116E-02   -2.020286E-03
Line01-013    2.875000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.413035E-02   -6.694766E-02    4.362436E-02    2.381374E-03
Line01-013    2.875000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -8.151191E-03   -5.175243E-02    4.047806E-02    5.780325E-03
Line01-013    2.875000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.089734E-02   -3.800843E-02    3.574107E-02    6.271094E-03
Line01-013    2.875000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.584414E-02   -2.451243E-02    3.436648E-02    3.762716E-03
Line01-014    3.125000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.200809E-01   -1.016809E-01    4.339908E-02   -5.981357E-03
Line01-014    3.125000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -7.067271E-02   -8.596722E-02    4.533274E-02   -1.310016E-03
Line01-014    3.125000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.522656E-02   -6.925330E-02    4.426165E-02    3.521407E-03
Line01-014    3.125000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -8.773617E-03   -5.308073E-02    4.030917E-02    6.720106E-03
Line01-014    3.125000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.048680E-02   -3.875470E-02    3.520836E-02    6.735804E-03
Line01-014    3.125000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.553815E-02   -2.490755E-02    3.384947E-02    3.897511E-03
Line01-015    3.375000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.254032E-01   -1.104397E-01    4.597593E-02   -5.380739E-03
Line01-015    3.375000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -7.321471E-02   -9.127020E-02    4.721320E-02    3.343194E-05
Line01-015    3.375000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.661181E-02   -7.233595E-02    4.509395E-02    5.065760E-03
Line01-015    3.375000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -9.638339E-03   -5.483815E-02    4.024767E-02    7.892089E-03
Line01-015    3.375000E+02    1.250000E+01    1.011500E+02    5.009995E+01    9.874393E-03   -3.975853E-02    3.475290E-02    7.332582E-03
Line01-015    3.375000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.507308E-02   -2.547069E-02    3.338832E-02    4.116481E-03
Line01-016    3.625000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.293876E-01   -1.198318E-01    4.876504E-02   -4.172175E-03
Line01-016    3.625000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -7.486426E-02   -9.653992E-02    4.913032E-02    1.762869E-03
Line01-016    3.625000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.742333E-02   -7.519207E-02    4.586791E-02    6.814048E-03
Line01-016    3.625000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -1.014264E-02   -5.635549E-02    4.011455E-02    9.137766E-03
Line01-016    3.625000E+02    1.250000E+01    1.011500E+02    5.009995E+01    9.490761E-03   -4.057274E-02    3.425245E-02    7.942995E-03
Line01-016    3.625000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.476266E-02   -2.590464E-02    3.290077E-02    4.336461E-03
Line01-017    3.875000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.327058E-01   -1.316832E-01    5.190393E-02   -2.250751E-03
Line01-017    3.875000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -7.620289E-02   -1.028059E-01    5.113162E-02    3.964688E-03
Line01-017    3.875000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.812048E-02   -7.845887E-02    4.659976E-02    8.810822E-03
Line01-017    3.875000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -1.062953E-02   -5.804476E-02    3.992268E-02    1.047819E-02
Line01-017    3.875000E+02    1.250000E+01    1.011500E+02    5.009995E+01    9.083468E-03   -4.146878E-02    3.371955E-02    8.580046E-03
Line01-017    3.875000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.442027E-02   -2.638867E-02    3.239642E-02    4.566784E-03
Line01-018    4.125000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.273947E-01   -1.333067E-01    5.494741E-02   -3.327504E-04
Line01-018    4.125000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -7.193613E-02   -1.023646E-01    5.285727E-02    6.189120E-03
Line01-018    4.125000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.496065E-02   -7.725408E-02    4.702256E-02    1.074522E-02
Line01-018    4.125000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -8.427999E-03   -5.673423E-02    3.948748E-02    1.169310E-02
Line01-018    4.125000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.058799E-02   -4.036378E-02    3.303204E-02    9.086322E-03
Line01-018    4.125000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.547010E-02   -2.555005E-02    3.180134E-02    4.698453E-03
Line01-019    4.375000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.192666E-01   -1.343008E-01    6.162209E-02    5.398911E-03
Line01-019    4.375000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -6.604311E-02   -1.010294E-01    5.688734E-02    1.110351E-02
Line01-019    4.375000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.078915E-02   -7.527430E-02    4.895557E-02    1.446918E-02
Line01-019    4.375000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -5.573146E-03   -5.483647E-02    4.010706E-02    1.407758E-02
Line01-019    4.375000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.253396E-02   -3.885051E-02    3.311639E-02    1.037435E-02
Line01-019    4.375000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.683930E-02   -2.444108E-02    3.176978E-02    5.363187E-03
Line01-020    4.625000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.223350E-01   -1.604827E-01    6.876143E-02    1.248031E-02
Line01-020    4.625000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -6.811097E-02   -1.141177E-01    6.102678E-02    1.680931E-02
Line01-020    4.625000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -3.247847E-02   -8.205870E-02    5.087790E-02    1.857874E-02
Line01-020    4.625000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -7.003817E-03   -5.846336E-02    4.072109E-02    1.662821E-02
Line01-020    4.625000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.132454E-02   -4.089729E-02    3.321878E-02    1.174861E-02
Line01-020    4.625000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.586558E-02   -2.565915E-02    3.174884E-02    6.090141E-03
Line01-021    4.875000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -1.017714E-01   -1.466865E-01    6.942241E-02    1.313819E-02
Line01-021    4.875000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -5.425028E-02   -1.031158E-01    6.046635E-02    1.796214E-02
Line01-021    4.875000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -2.285313E-02   -7.367083E-02    4.943307E-02    1.940278E-02
Line01-021    4.875000E+02    1.250000E+01    1.011500E+02    1.000000E+02   -3.491463E-04   -5.228183E-02    3.897000E-02    1.680216E-02
Line01-021    4.875000E+02    1.250000E+01    1.011500E+02    5.009995E+01    1.597035E-02   -3.652595E-02    3.168777E-02    1.142370E-02
Line01-021    4.875000E+02    1.250000E+01    1.011500E+02    2.510002E+01    2.919139E-02   -2.265944E-02    3.061501E-02    5.642178E-03
Line01-022    5.125000E+02    1.250000E+01    1.011500E+02    7.943001E+02   -7.604405E-02   -1.254062E-01    8.323626E-02    2.955092E-02
Line01-022    5.125000E+02    1.250000E+01    1.011500E+02    3.981003E+02   -3.698723E-02   -8.749049E-02    6.880017E-02    2.964738E-02
Line01-022    5.125000E+02    1.250000E+01    1.011500E+02    1.995001E+02   -1.082411E-02   -6.232570E-02    5.418640E-02    2.723589E-02
Line01-022    5.125000E+02    1.250000E+01    1.011500E+02    1.000000E+02    8.029354E-03   -4.416913E-02    4.165133E-02    2.169072E-02
Line01-022    5.125000E+02    1.250000E+01    1.011500E+02    5.009995E+01    2.188157E-02   -3.089677E-02    3.336430E-02    1.432094E-02
Line01-022    5.125000E+02    1.250000E+01    1.011500E+02    2.510002E+01    3.348386E-02   -1.883598E-02    3.179544E-02    7.393614E-03
Line01-023    5.375000E+02    1.250000E+01    1.011250E+02    7.943001E+02   -6.493472E-02   -9.286511E-02    9.378937E-02    2.875692E-02
Line01-023    5.375000E+02    1.250000E+01    1.011250E+02    3.981003E+02   -2.912308E-02   -6.965451E-02    7.626703E-02    3.224401E-02
Line01-023    5.375000E+02    1.250000E+01    1.011250E+02    1.995001E+02   -4.924896E-03   -5.196869E-02    5.873489E-02    3.064673E-02
Line01-023    5.375000E+02    1.250000E+01    1.011250E+02    1.000000E+02    1.247745E-02   -3.792350E-02    4.406930E-02    2.452088E-02
Line01-023    5.375000E+02    1.250000E+01    1.011250E+02    5.009995E+01    2.536595E-02   -2.695897E-02    3.466631E-02    1.616308E-02
Line01-023    5.375000E+02    1.250000E+01    1.011250E+02    2.510002E+01    3.627168E-02   -1.604450E-02    3.273606E-02    8.534847E-03
Line01-024    5.625000E+02    1.250000E+01    1.011250E+02    7.943001E+02   -2.727190E-02   -5.836115E-02    8.759313E-02    2.775074E-02
Line01-024    5.625000E+02    1.250000E+01    1.011250E+02    3.981003E+02   -3.922898E-03   -4.526246E-02    7.008624E-02    3.108699E-02
Line01-024    5.625000E+02    1.250000E+01    1.011250E+02    1.995001E+02    1.269631E-02   -3.467027E-02    5.305019E-02    2.902887E-02
Line01-024    5.625000E+02    1.250000E+01    1.011250E+02    1.000000E+02    2.482461E-02   -2.570658E-02    3.932468E-02    2.249469E-02
Line01-024    5.625000E+02    1.250000E+01    1.011250E+02    5.009995E+01    3.411011E-02   -1.849549E-02    3.110688E-02    1.408385E-02
Line01-024    5.625000E+02    1.250000E+01    1.011250E+02    2.510002E+01    4.259249E-02   -1.028939E-02    3.023094E-02    6.815562E-03
Line01-025    5.875000E+02    1.250000E+01    1.011250E+02    7.943001E+02   -5.025661E-03   -4.287810E-02    8.718234E-02    3.418498E-02
Line01-025    5.875000E+02    1.250000E+01    1.011250E+02    3.981003E+02    1.117842E-02   -3.312569E-02    6.791352E-02    3.471341E-02
Line01-025    5.875000E+02    1.250000E+01    1.011250E+02    1.995001E+02    2.325675E-02   -2.545408E-02    5.027526E-02    3.054285E-02
Line01-025    5.875000E+02    1.250000E+01    1.011250E+02    1.000000E+02    3.214694E-02   -1.890438E-02    3.674815E-02    2.259270E-02
Line01-025    5.875000E+02    1.250000E+01    1.011250E+02    5.009995E+01    3.921618E-02   -1.368371E-02    2.915893E-02    1.350589E-02
Line01-025    5.875000E+02    1.250000E+01    1.011250E+02    2.510002E+01    4.624740E-02   -6.998930E-03    2.888731E-02    6.162124E-03
Line01-026    6.125000E+02    1.250000E+01    1.011250E+02    7.943001E+02    4.175341E-03   -4.750842E-02    8.851787E-02    4.717005E-02
Line01-026    6.125000E+02    1.250000E+01    1.011250E+02    3.981003E+02    1.747719E-02   -3.331704E-02    6.693588E-02    4.184312E-02
Line01-026    6.125000E+02    1.250000E+01    1.011250E+02    1.995001E+02    2.754091E-02   -2.410758E-02    4.842851E-02    3.398183E-02
Line01-026    6.125000E+02    1.250000E+01    1.011250E+02    1.000000E+02    3.495187E-02   -1.725795E-02    3.492817E-02    2.381478E-02
Line01-026    6.125000E+02    1.250000E+01    1.011250E+02    5.009995E+01    4.102748E-02   -1.229490E-02    2.781139E-02    1.365089E-02
Line01-026    6.125000E+02    1.250000E+01    1.011250E+02    2.510002E+01    4.747315E-02   -5.997083E-03    2.798138E-02    6.001018E-03
Line01-027    6.375000E+02    1.250000E+01    1.011000E+02    7.943001E+02    2.779555E-02   -1.801523E-02    6.481901E-02    2.891880E-02
Line01-027    6.375000E+02    1.250000E+01    1.011000E+02    3.981003E+02    3.393377E-02   -1.434290E-02    4.857191E-02    2.866840E-02
Line01-027    6.375000E+02    1.250000E+01    1.011000E+02    1.995001E+02    3.946415E-02   -1.136666E-02    3.390624E-02    2.415873E-02
Line01-027    6.375000E+02    1.250000E+01    1.011000E+02    1.000000E+02    4.358245E-02   -8.531676E-03    2.353493E-02    1.602340E-02
Line01-027    6.375000E+02    1.250000E+01    1.011000E+02    5.009995E+01    4.740125E-02   -6.237939E-03    1.929225E-02    7.351778E-03
Line01-027    6.375000E+02    1.250000E+01    1.011000E+02    2.510002E+01    5.224841E-02   -1.580161E-03    2.197714E-02    1.245820E-03
Line01-028    6.625000E+02    1.250000E+01    1.011000E+02    7.943001E+02    5.050195E-02   -3.729882E-03    2.262296E-02    1.171367E-02
Line01-028    6.625000E+02    1.250000E+01    1.011000E+02    3.981003E+02    5.011487E-02   -2.807879E-03    1.524877E-02    1.198885E-02
Line01-028    6.625000E+02    1.250000E+01    1.011000E+02    1.995001E+02    5.117657E-02   -2.206010E-03    8.204591E-03    9.173677E-03
Line01-028    6.625000E+02    1.250000E+01    1.011000E+02    1.000000E+02    5.186610E-02   -1.455645E-03    4.282653E-03    3.165102E-03
Line01-028    6.625000E+02    1.250000E+01    1.011000E+02    5.009995E+01    5.319628E-02   -1.005483E-03    5.349616E-03   -3.067416E-03
Line01-028    6.625000E+02    1.250000E+01    1.011000E+02    2.510002E+01    5.631092E-02    2.113070E-03    1.205949E-02   -6.571472E-03
Line01-029    6.875000E+02    1.250000E+01    1.011000E+02    7.943001E+02    7.159954E-02    1.028177E-02   -1.360308E-02   -8.262304E-04
Line01-029    6.875000E+02    1.250000E+01    1.011000E+02    3.981003E+02    6.525934E-02    8.225034E-03   -1.372720E-02   -1.203397E-03
Line01-029    6.875000E+02    1.250000E+01    1.011000E+02    1.995001E+02    6.220782E-02    6.483535E-03   -1.429186E-02   -3.247199E-03
Line01-029    6.875000E+02    1.250000E+01    1.011000E+02    1.000000E+02    5.969274E-02    5.242673E-03   -1.257347E-02   -7.800919E-03
Line01-029    6.875000E+02    1.250000E+01    1.011000E+02    5.009995E+01    5.867822E-02    3.937954E-03   -6.804750E-03   -1.207487E-02
Line01-029    6.875000E+02    1.250000E+01    1.011000E+02    2.510002E+01    6.016641E-02    5.594714E-03    3.452924E-03   -1.335608E-02
Line01-030    7.125000E+02    1.250000E+01    1.011000E+02    7.943001E+02    9.481855E-02    2.770336E-02   -5.059625E-02   -1.351100E-02
Line01-030    7.125000E+02    1.250000E+01    1.011000E+02    3.981003E+02    8.192421E-02    2.127029E-02   -4.339463E-02   -1.461997E-02
Line01-030    7.125000E+02    1.250000E+01    1.011000E+02    1.995001E+02    7.439839E-02    1.645792E-02   -3.733819E-02   -1.595547E-02
Line01-030    7.125000E+02    1.250000E+01    1.011000E+02    1.000000E+02    6.839442E-02    1.280857E-02   -2.981061E-02   -1.905412E-02
Line01-030    7.125000E+02    1.250000E+01    1.011000E+02    5.009995E+01    6.481332E-02    9.481511E-03   -1.920227E-02   -2.131873E-02
Line01-030    7.125000E+02    1.250000E+01    1.011000E+02    2.510002E+01    6.450803E-02    9.492946E-03   -5.306535E-03   -2.031669E-02
Line01-031    7.375000E+02    1.250000E+01    1.011000E+02    7.943001E+02    1.219636E-01    4.991643E-02   -9.224264E-02   -2.900284E-02
Line01-031    7.375000E+02    1.250000E+01    1.011000E+02    3.981003E+02    1.013968E-01    3.737420E-02   -7.669011E-02   -3.033667E-02
Line01-031    7.375000E+02    1.250000E+01    1.011000E+02    1.995001E+02    8.868211E-02    2.849898E-02   -6.314141E-02   -3.056628E-02
Line01-031    7.375000E+02    1.250000E+01    1.011000E+02    1.000000E+02    7.864754E-02    2.182233E-02   -4.907091E-02   -3.184517E-02
Line01-031    7.375000E+02    1.250000E+01    1.011000E+02    5.009995E+01    7.209036E-02    1.605368E-02   -3.304758E-02   -3.175606E-02
Line01-031    7.375000E+02    1.250000E+01    1.011000E+02    2.510002E+01    6.968383E-02    1.411893E-02   -1.508714E-02   -2.816271E-02
Line01-032    7.625000E+02    1.250000E+01    1.011250E+02    7.943001E+02    1.215641E-01    4.920284E-02   -1.159370E-01   -4.622067E-02
Line01-032    7.625000E+02    1.250000E+01    1.011250E+02    3.981003E+02    1.015680E-01    3.717646E-02   -9.515557E-02   -4.378038E-02
Line01-032    7.625000E+02    1.250000E+01    1.011250E+02    1.995001E+02    8.873982E-02    2.874258E-02   -7.683963E-02   -4.152534E-02
Line01-032    7.625000E+02    1.250000E+01    1.011250E+02    1.000000E+02    7.836227E-02    2.219727E-02   -5.858229E-02   -4.048005E-02
Line01-032    7.625000E+02    1.250000E+01    1.011250E+02    5.009995E+01    7.145359E-02    1.626077E-02   -3.943525E-02   -3.806903E-02
Line01-032    7.625000E+02    1.250000E+01    1.011250E+02    2.510002E+01    6.888161E-02    1.387336E-02   -1.955520E-02   -3.249212E-02
